onset	duration	trial_type	image_n	colour	shape	orientation	catch_trial	catch_on	catch_outcome	response_time
41.922485	0.5	neutral-shape	1	red	4	0	False	False	correct_rejection	n/a
42.416382	0.5	neutral-shape	2	red	2	20	False	False	correct_rejection	n/a
42.933228	0.5	neutral-shape	3	red	3	40	False	False	correct_rejection	n/a
43.433105	0.5	neutral-shape	4	red	1	60	False	False	correct_rejection	n/a
44.449219	0.5	neutral-shape	1	green	3	0	True	False	hit	n/a
44.932983	0.5	neutral-shape	2	green	1	20	True	True	hit	0.467062016018
45.432983	0.5	neutral-shape	3	green	4	40	True	False	hit	n/a
45.933105	0.5	neutral-shape	4	green	3	60	True	False	hit	n/a
46.952271	0.5	violation-colour	1	green	1	0	False	False	correct_rejection	n/a
47.449463	0.5	violation-colour	2	green	1	20	False	False	correct_rejection	n/a
47.949585	0.5	violation-colour	3	green	1	40	False	False	correct_rejection	n/a
48.449463	0.5	violation-colour	4	red	1	60	False	False	correct_rejection	n/a
49.467163	0.5	neutral-shape	1	yellow	3	0	False	False	correct_rejection	n/a
49.966064	0.5	neutral-shape	2	yellow	2	20	False	False	correct_rejection	n/a
50.466064	0.5	neutral-shape	3	yellow	1	40	False	False	correct_rejection	n/a
50.966064	0.5	neutral-shape	4	yellow	4	60	False	False	correct_rejection	n/a
51.981689	0.5	violation-orientation	1	green	2	70	False	False	correct_rejection	n/a
52.466064	0.5	violation-orientation	2	green	2	55	False	False	correct_rejection	n/a
52.965942	0.5	violation-orientation	3	green	2	40	False	False	correct_rejection	n/a
53.465942	0.5	violation-orientation	4	green	2	60	False	False	correct_rejection	n/a
54.481445	0.5	violation-shape	1	blue	2	0	False	False	correct_rejection	n/a
54.965942	0.5	violation-shape	2	blue	2	20	False	False	correct_rejection	n/a
55.465942	0.5	violation-shape	3	blue	2	40	False	False	correct_rejection	n/a
55.96582	0.5	violation-shape	4	blue	3	60	False	False	correct_rejection	n/a
56.98291	0.5	violation-shape	1	red	2	70	False	False	correct_rejection	n/a
57.482544	0.5	violation-shape	2	red	2	55	False	False	correct_rejection	n/a
57.982422	0.5	violation-shape	3	red	2	40	False	False	correct_rejection	n/a
58.482422	0.5	violation-shape	4	red	1	25	False	False	correct_rejection	n/a
59.498535	0.5	neutral-colour	1	yellow	2	70	False	False	correct_rejection	n/a
59.982422	0.5	neutral-colour	2	green	2	55	False	False	correct_rejection	n/a
60.482422	0.5	neutral-colour	3	blue	2	40	False	False	correct_rejection	n/a
60.982422	0.5	neutral-colour	4	yellow	2	25	False	False	correct_rejection	n/a
61.997925	0.5	neutral-colour	1	green	4	70	False	False	correct_rejection	n/a
62.4823	0.5	neutral-colour	2	red	4	55	False	False	correct_rejection	n/a
62.982422	0.5	neutral-colour	3	blue	4	40	False	False	correct_rejection	n/a
63.4823	0.5	neutral-colour	4	green	4	25	False	False	correct_rejection	n/a
64.499512	0.5	constant	1	red	1	0	True	True	hit	0.599664128036
64.998901	0.5	constant	2	red	1	20	True	False	hit	n/a
65.498901	0.5	constant	3	red	1	40	True	False	hit	n/a
65.998901	0.5	constant	4	red	1	60	True	False	hit	n/a
67.015259	0.5	constant	1	red	1	0	False	False	correct_rejection	n/a
67.498901	0.5	constant	2	red	1	20	False	False	correct_rejection	n/a
67.998901	0.5	constant	3	red	1	40	False	False	correct_rejection	n/a
68.498779	0.5	constant	4	red	1	60	False	False	correct_rejection	n/a
69.51416	0.5	violation-orientation	1	blue	3	70	False	False	correct_rejection	n/a
69.998779	0.5	violation-orientation	2	blue	3	55	False	False	correct_rejection	n/a
70.498779	0.5	violation-orientation	3	blue	3	40	False	False	correct_rejection	n/a
70.998779	0.5	violation-orientation	4	blue	3	60	False	False	correct_rejection	n/a
72.015381	0.5	neutral-colour	1	red	3	0	False	False	correct_rejection	n/a
72.498657	0.5	neutral-colour	2	green	3	20	False	False	correct_rejection	n/a
72.998657	0.5	neutral-colour	3	blue	3	40	False	False	correct_rejection	n/a
73.498657	0.5	neutral-colour	4	green	3	60	False	False	correct_rejection	n/a
74.513794	0.5	violation-shape	1	green	2	0	False	False	correct_rejection	n/a
74.998657	0.5	violation-shape	2	green	2	20	False	False	correct_rejection	n/a
75.498657	0.5	violation-shape	3	green	2	40	False	False	correct_rejection	n/a
75.998657	0.5	violation-shape	4	green	4	60	False	False	correct_rejection	n/a
77.014771	0.5	violation-shape	1	yellow	3	70	False	False	correct_rejection	n/a
77.498535	0.5	violation-shape	2	yellow	3	55	False	False	correct_rejection	n/a
77.998535	0.5	violation-shape	3	yellow	3	40	False	False	correct_rejection	n/a
78.498535	0.5	violation-shape	4	yellow	4	25	False	False	correct_rejection	n/a
79.514893	0.5	violation-orientation	1	blue	2	0	False	False	correct_rejection	n/a
79.998413	0.5	violation-orientation	2	blue	2	20	False	False	correct_rejection	n/a
80.498413	0.5	violation-orientation	3	blue	2	40	False	False	correct_rejection	n/a
80.998413	0.5	violation-orientation	4	blue	2	25	False	False	correct_rejection	n/a
82.014404	0.5	violation-colour	1	green	3	0	False	False	correct_rejection	n/a
82.498413	0.5	violation-colour	2	green	3	20	False	False	correct_rejection	n/a
82.998413	0.5	violation-colour	3	green	3	40	False	False	correct_rejection	n/a
83.498413	0.5	violation-colour	4	yellow	3	60	False	False	correct_rejection	n/a
84.514404	0.5	constant	1	blue	1	70	False	False	correct_rejection	n/a
84.998291	0.5	constant	2	blue	1	55	False	False	correct_rejection	n/a
85.498291	0.5	constant	3	blue	1	40	False	False	correct_rejection	n/a
85.998291	0.5	constant	4	blue	1	25	False	False	correct_rejection	n/a
87.015015	0.5	violation-colour	1	yellow	3	70	False	False	correct_rejection	n/a
87.514893	0.5	violation-colour	2	yellow	3	55	False	False	correct_rejection	n/a
88.014893	0.5	violation-colour	3	yellow	3	40	False	False	correct_rejection	n/a
88.514893	0.5	violation-colour	4	red	3	25	False	False	correct_rejection	n/a
89.530273	0.5	neutral-shape	1	blue	3	70	False	False	correct_rejection	n/a
90.014893	0.5	neutral-shape	2	blue	4	55	False	False	correct_rejection	n/a
90.514893	0.5	neutral-shape	3	blue	2	40	False	False	correct_rejection	n/a
91.014771	0.5	neutral-shape	4	blue	4	25	False	False	correct_rejection	n/a
92.030273	0.5	constant	1	yellow	3	0	False	False	correct_rejection	n/a
92.514771	0.5	constant	2	yellow	3	20	False	False	correct_rejection	n/a
93.014771	0.5	constant	3	yellow	3	40	False	False	correct_rejection	n/a
93.514771	0.5	constant	4	yellow	3	60	False	False	correct_rejection	n/a
94.531738	0.5	neutral-shape	1	blue	2	0	False	False	correct_rejection	n/a
95.031372	0.5	neutral-shape	2	blue	1	20	False	False	correct_rejection	n/a
95.531372	0.5	neutral-shape	3	blue	4	40	False	False	correct_rejection	n/a
96.031372	0.5	neutral-shape	4	blue	2	60	False	False	correct_rejection	n/a
97.046753	0.5	neutral-colour	1	red	4	0	False	False	correct_rejection	n/a
97.53125	0.5	neutral-colour	2	blue	4	20	False	False	correct_rejection	n/a
98.03125	0.5	neutral-colour	3	green	4	40	False	False	correct_rejection	n/a
98.53125	0.5	neutral-colour	4	blue	4	60	False	False	correct_rejection	n/a
99.546875	0.5	constant	1	blue	2	0	False	False	correct_rejection	n/a
100.03125	0.5	constant	2	blue	2	20	False	False	correct_rejection	n/a
100.531128	0.5	constant	3	blue	2	40	False	False	correct_rejection	n/a
101.031128	0.5	constant	4	blue	2	60	False	False	correct_rejection	n/a
102.048096	0.5	constant	1	yellow	4	0	False	False	correct_rejection	n/a
102.547852	0.5	constant	2	yellow	4	20	False	False	correct_rejection	n/a
103.047852	0.5	constant	3	yellow	4	40	False	False	correct_rejection	n/a
103.547729	0.5	constant	4	yellow	4	60	False	False	correct_rejection	n/a
104.563843	0.5	violation-shape	1	red	3	70	False	False	correct_rejection	n/a
105.047729	0.5	violation-shape	2	red	3	55	False	False	correct_rejection	n/a
105.547729	0.5	violation-shape	3	red	3	40	False	False	correct_rejection	n/a
106.047729	0.5	violation-shape	4	red	2	25	False	False	correct_rejection	n/a
107.062988	0.5	neutral-shape	1	blue	4	70	False	False	correct_rejection	n/a
107.547607	0.5	neutral-shape	2	blue	1	55	False	False	correct_rejection	n/a
108.047607	0.5	neutral-shape	3	blue	2	40	False	False	correct_rejection	n/a
108.547607	0.5	neutral-shape	4	blue	1	25	False	False	correct_rejection	n/a
109.565308	0.5	constant	1	red	1	70	False	False	correct_rejection	n/a
110.064331	0.5	constant	2	red	1	55	False	False	correct_rejection	n/a
110.564331	0.5	constant	3	red	1	40	False	False	correct_rejection	n/a
111.064209	0.5	constant	4	red	1	25	False	False	correct_rejection	n/a
112.079712	0.5	constant	1	yellow	3	70	False	False	correct_rejection	n/a
112.564209	0.5	constant	2	yellow	3	55	False	False	correct_rejection	n/a
113.064209	0.5	constant	3	yellow	3	40	False	False	correct_rejection	n/a
113.564209	0.5	constant	4	yellow	3	25	False	False	correct_rejection	n/a
114.579712	0.5	violation-colour	1	green	2	70	False	False	correct_rejection	n/a
115.064209	0.5	violation-colour	2	green	2	55	False	False	correct_rejection	n/a
115.564209	0.5	violation-colour	3	green	2	40	False	False	correct_rejection	n/a
116.064087	0.5	violation-colour	4	yellow	2	25	False	False	correct_rejection	n/a
117.081787	0.5	neutral-shape	1	blue	2	70	False	False	correct_rejection	n/a
117.580688	0.5	neutral-shape	2	blue	4	55	False	False	correct_rejection	n/a
118.080688	0.5	neutral-shape	3	blue	1	40	False	False	correct_rejection	n/a
118.580566	0.5	neutral-shape	4	blue	4	25	False	False	correct_rejection	n/a
119.596313	0.5	violation-orientation	1	yellow	2	70	False	False	correct_rejection	n/a
120.080566	0.5	violation-orientation	2	yellow	2	55	False	False	correct_rejection	n/a
120.580566	0.5	violation-orientation	3	yellow	2	40	False	False	correct_rejection	n/a
121.080566	0.5	violation-orientation	4	yellow	2	60	False	False	correct_rejection	n/a
122.096802	0.5	violation-colour	1	red	3	70	False	False	correct_rejection	n/a
122.580566	0.5	violation-colour	2	red	3	55	False	False	correct_rejection	n/a
123.080444	0.5	violation-colour	3	red	3	40	False	False	correct_rejection	n/a
123.580444	0.5	violation-colour	4	blue	3	25	False	False	correct_rejection	n/a
124.59729	0.5	neutral-shape	1	green	4	70	False	False	correct_rejection	n/a
125.097046	0.5	neutral-shape	2	green	2	55	False	False	correct_rejection	n/a
