onset	duration	trial_type	image_n	colour	shape	orientation	catch_trial	catch_on	catch_outcome	response_time
20.853516	0.5	violation-orientation	1	blue	4	70	False	False	correct_rejection	n/a
21.342773	0.5	violation-orientation	2	blue	4	55	False	False	correct_rejection	n/a
21.842773	0.5	violation-orientation	3	blue	4	40	False	False	correct_rejection	n/a
22.342773	0.5	violation-orientation	4	blue	4	60	False	False	correct_rejection	n/a
23.360352	0.5	neutral-colour	1	blue	1	0	False	False	correct_rejection	n/a
23.859375	0.5	neutral-colour	2	red	1	20	False	False	correct_rejection	n/a
24.359375	0.5	neutral-colour	3	green	1	40	False	False	correct_rejection	n/a
24.859375	0.5	neutral-colour	4	yellow	1	60	False	False	correct_rejection	n/a
25.875977	0.5	constant	1	yellow	4	70	False	False	correct_rejection	n/a
26.359375	0.5	constant	2	yellow	4	55	False	False	correct_rejection	n/a
26.859375	0.5	constant	3	yellow	4	40	False	False	correct_rejection	n/a
27.359375	0.5	constant	4	yellow	4	25	False	False	correct_rejection	n/a
28.375	0.5	violation-colour	1	blue	4	0	False	False	correct_rejection	n/a
28.859375	0.5	violation-colour	2	blue	4	20	False	False	correct_rejection	n/a
29.359375	0.5	violation-colour	3	blue	4	40	False	False	correct_rejection	n/a
29.859375	0.5	violation-colour	4	red	4	60	False	False	correct_rejection	n/a
30.875977	0.5	violation-orientation	1	blue	1	70	False	False	correct_rejection	n/a
31.359375	0.5	violation-orientation	2	blue	1	55	False	False	correct_rejection	n/a
31.859375	0.5	violation-orientation	3	blue	1	40	False	False	correct_rejection	n/a
32.359375	0.5	violation-orientation	4	blue	1	60	False	False	correct_rejection	n/a
33.375	0.5	constant	1	red	4	0	False	False	correct_rejection	n/a
33.859375	0.5	constant	2	red	4	20	False	False	correct_rejection	n/a
34.359375	0.5	constant	3	red	4	40	False	False	correct_rejection	n/a
34.859375	0.5	constant	4	red	4	60	False	False	correct_rejection	n/a
35.874023	0.5	constant	1	yellow	1	0	False	False	correct_rejection	n/a
36.359375	0.5	constant	2	yellow	1	20	False	False	correct_rejection	n/a
36.859375	0.5	constant	3	yellow	1	40	False	False	correct_rejection	n/a
37.359375	0.5	constant	4	yellow	1	60	False	False	correct_rejection	n/a
38.375	0.5	neutral-colour	1	green	2	0	False	False	correct_rejection	n/a
38.859375	0.5	neutral-colour	2	yellow	2	20	False	False	correct_rejection	n/a
39.358398	0.5	neutral-colour	3	blue	2	40	False	False	correct_rejection	n/a
39.858398	0.5	neutral-colour	4	green	2	60	False	False	correct_rejection	n/a
40.874023	0.5	constant	1	blue	2	70	False	False	correct_rejection	n/a
41.358398	0.5	constant	2	blue	2	55	False	False	correct_rejection	n/a
41.858398	0.5	constant	3	blue	2	40	False	False	correct_rejection	n/a
42.358398	0.5	constant	4	blue	2	25	False	False	correct_rejection	n/a
43.374023	0.5	neutral-shape	1	yellow	4	0	False	False	correct_rejection	n/a
43.858398	0.5	neutral-shape	2	yellow	1	20	False	False	correct_rejection	n/a
44.358398	0.5	neutral-shape	3	yellow	2	40	False	False	correct_rejection	n/a
44.858398	0.5	neutral-shape	4	yellow	4	60	False	False	correct_rejection	n/a
45.875977	0.5	violation-orientation	1	green	2	0	False	False	correct_rejection	n/a
46.375	0.5	violation-orientation	2	green	2	20	False	False	correct_rejection	n/a
46.875	0.5	violation-orientation	3	green	2	40	False	False	correct_rejection	n/a
47.375	0.5	violation-orientation	4	green	2	25	False	False	correct_rejection	n/a
48.390625	0.5	neutral-shape	1	red	2	70	False	False	correct_rejection	n/a
48.875	0.5	neutral-shape	2	red	1	55	False	False	correct_rejection	n/a
49.375	0.5	neutral-shape	3	red	4	40	False	False	correct_rejection	n/a
49.875	0.5	neutral-shape	4	red	2	25	False	False	correct_rejection	n/a
50.891602	0.5	violation-orientation	1	blue	3	0	True	True	hit	0.584033024032
51.375	0.5	violation-orientation	2	blue	3	20	True	False	hit	n/a
51.875	0.5	violation-orientation	3	blue	3	40	True	False	hit	n/a
52.375	0.5	violation-orientation	4	blue	3	25	True	False	hit	n/a
53.392578	0.5	violation-orientation	1	green	4	0	False	False	correct_rejection	n/a
53.891602	0.5	violation-orientation	2	green	4	20	False	False	correct_rejection	n/a
54.391602	0.5	violation-orientation	3	green	4	40	False	False	correct_rejection	n/a
54.892578	0.5	violation-orientation	4	green	4	25	False	False	correct_rejection	n/a
55.908203	0.5	constant	1	green	1	0	False	False	correct_rejection	n/a
56.391602	0.5	constant	2	green	1	20	False	False	correct_rejection	n/a
56.891602	0.5	constant	3	green	1	40	False	False	correct_rejection	n/a
57.391602	0.5	constant	4	green	1	60	False	False	correct_rejection	n/a
58.408203	0.5	violation-orientation	1	yellow	1	0	False	False	correct_rejection	n/a
58.891602	0.5	violation-orientation	2	yellow	1	20	False	False	correct_rejection	n/a
59.391602	0.5	violation-orientation	3	yellow	1	40	False	False	correct_rejection	n/a
59.891602	0.5	violation-orientation	4	yellow	1	25	False	False	correct_rejection	n/a
60.90918	0.5	neutral-colour	1	yellow	4	0	False	False	correct_rejection	n/a
61.408203	0.5	neutral-colour	2	green	4	20	False	False	correct_rejection	n/a
61.908203	0.5	neutral-colour	3	red	4	40	False	False	correct_rejection	n/a
62.408203	0.5	neutral-colour	4	green	4	60	False	False	correct_rejection	n/a
63.423828	0.5	violation-shape	1	yellow	1	0	False	False	correct_rejection	n/a
63.908203	0.5	violation-shape	2	yellow	1	20	False	False	correct_rejection	n/a
64.408203	0.5	violation-shape	3	yellow	1	40	False	False	correct_rejection	n/a
64.908203	0.5	violation-shape	4	yellow	3	60	False	False	correct_rejection	n/a
65.923828	0.5	neutral-shape	1	blue	3	0	False	False	correct_rejection	n/a
66.408203	0.5	neutral-shape	2	blue	4	20	False	False	correct_rejection	n/a
66.908203	0.5	neutral-shape	3	blue	2	40	False	False	correct_rejection	n/a
67.408203	0.5	neutral-shape	4	blue	4	60	False	False	correct_rejection	n/a
68.424805	0.5	neutral-shape	1	yellow	4	0	True	True	hit	0.467211008072
68.908203	0.5	neutral-shape	2	yellow	1	20	True	False	hit	n/a
69.408203	0.5	neutral-shape	3	yellow	2	40	True	False	hit	n/a
69.908203	0.5	neutral-shape	4	yellow	4	60	True	False	hit	n/a
70.923828	0.5	neutral-shape	1	green	1	70	False	False	correct_rejection	n/a
71.408203	0.5	neutral-shape	2	green	2	55	False	False	correct_rejection	n/a
71.908203	0.5	neutral-shape	3	green	3	40	False	False	correct_rejection	n/a
72.408203	0.5	neutral-shape	4	green	4	25	False	False	correct_rejection	n/a
73.423828	0.5	constant	1	yellow	4	70	False	False	correct_rejection	n/a
73.908203	0.5	constant	2	yellow	4	55	False	False	correct_rejection	n/a
74.408203	0.5	constant	3	yellow	4	40	False	False	correct_rejection	n/a
74.908203	0.5	constant	4	yellow	4	25	False	False	correct_rejection	n/a
75.924805	0.5	constant	1	yellow	2	0	False	False	correct_rejection	n/a
76.424805	0.5	constant	2	yellow	2	20	False	False	correct_rejection	n/a
76.924805	0.5	constant	3	yellow	2	40	False	False	correct_rejection	n/a
77.424805	0.5	constant	4	yellow	2	60	False	False	correct_rejection	n/a
78.44043	0.5	neutral-shape	1	red	1	0	False	False	correct_rejection	n/a
78.924805	0.5	neutral-shape	2	red	2	20	False	False	correct_rejection	n/a
79.424805	0.5	neutral-shape	3	red	4	40	False	False	correct_rejection	n/a
79.924805	0.5	neutral-shape	4	red	1	60	False	False	correct_rejection	n/a
80.939453	0.5	violation-shape	1	red	4	70	True	True	hit	0.451619583881
81.423828	0.5	violation-shape	2	red	4	55	True	False	hit	n/a
81.923828	0.5	violation-shape	3	red	4	40	True	False	hit	n/a
82.423828	0.5	violation-shape	4	red	2	25	True	False	hit	n/a
83.442383	0.5	constant	1	yellow	3	70	False	False	correct_rejection	n/a
83.94043	0.5	constant	2	yellow	3	55	False	False	correct_rejection	n/a
84.44043	0.5	constant	3	yellow	3	40	False	False	correct_rejection	n/a
84.94043	0.5	constant	4	yellow	3	25	False	False	correct_rejection	n/a
85.957031	0.5	violation-colour	1	yellow	1	0	False	False	correct_rejection	n/a
86.44043	0.5	violation-colour	2	yellow	1	20	False	False	correct_rejection	n/a
86.94043	0.5	violation-colour	3	yellow	1	40	False	False	correct_rejection	n/a
87.44043	0.5	violation-colour	4	red	1	60	False	False	correct_rejection	n/a
88.457031	0.5	neutral-shape	1	red	2	0	False	False	correct_rejection	n/a
