onset	duration	trial_type	image_n	colour	shape	orientation	catch_trial	catch_on	catch_outcome	response_time
30.550781	0.5	constant	1	green	1	250	False	False	correct_rejection	n/a
31.037109	0.5	constant	2	green	1	230	False	False	correct_rejection	n/a
31.537109	0.5	constant	3	green	1	210	False	False	correct_rejection	n/a
32.037109	0.5	constant	4	green	1	190	False	False	correct_rejection	n/a
33.051758	0.5	constant	1	blue	2	180	False	False	correct_rejection	n/a
33.537109	0.5	constant	2	blue	2	195	False	False	correct_rejection	n/a
34.037109	0.5	constant	3	blue	2	210	False	False	correct_rejection	n/a
34.537109	0.5	constant	4	blue	2	225	False	False	correct_rejection	n/a
35.555664	0.5	violation-shape	1	green	1	180	False	False	correct_rejection	n/a
36.053711	0.5	violation-shape	2	green	1	195	False	False	correct_rejection	n/a
36.553711	0.5	violation-shape	3	green	1	210	False	False	correct_rejection	n/a
37.053711	0.5	violation-shape	4	green	3	225	False	False	correct_rejection	n/a
38.070312	0.5	violation-orientation	1	blue	3	180	True	False	hit	n/a
38.570312	0.5	violation-orientation	2	blue	3	195	True	True	hit	0.750211775827
39.070312	0.5	violation-orientation	3	blue	3	210	True	False	hit	n/a
39.570312	0.5	violation-orientation	4	blue	3	190	True	False	hit	n/a
40.584961	0.5	constant	1	red	3	250	False	False	correct_rejection	n/a
41.070312	0.5	constant	2	red	3	230	False	False	correct_rejection	n/a
41.570312	0.5	constant	3	red	3	210	False	False	correct_rejection	n/a
42.070312	0.5	constant	4	red	3	190	False	False	correct_rejection	n/a
43.086914	0.5	violation-colour	1	yellow	2	250	False	False	correct_rejection	n/a
43.570312	0.5	violation-colour	2	yellow	2	230	False	False	correct_rejection	n/a
44.070312	0.5	violation-colour	3	yellow	2	210	False	False	correct_rejection	n/a
44.570312	0.5	violation-colour	4	red	2	190	False	False	correct_rejection	n/a
45.586914	0.5	violation-shape	1	yellow	1	180	False	False	correct_rejection	n/a
46.086914	0.5	violation-shape	2	yellow	1	195	False	False	correct_rejection	n/a
46.586914	0.5	violation-shape	3	yellow	1	210	False	False	correct_rejection	n/a
47.086914	0.5	violation-shape	4	yellow	4	225	False	False	correct_rejection	n/a
48.102539	0.5	constant	1	red	3	180	False	False	correct_rejection	n/a
48.586914	0.5	constant	2	red	3	195	False	False	correct_rejection	n/a
49.086914	0.5	constant	3	red	3	210	False	False	correct_rejection	n/a
49.586914	0.5	constant	4	red	3	225	False	False	correct_rejection	n/a
