onset	duration	trial_type	image_n	colour	shape	orientation	catch_trial	catch_on	catch_outcome	response_time
32.115234	0.5	constant	1	blue	4	180	False	False	correct_rejection	n/a
32.603516	0.5	constant	2	blue	4	195	False	False	correct_rejection	n/a
33.103516	0.5	constant	3	blue	4	210	False	False	correct_rejection	n/a
33.603516	0.5	constant	4	blue	4	225	False	False	correct_rejection	n/a
34.620117	0.5	constant	1	blue	1	250	False	False	correct_rejection	n/a
35.120117	0.5	constant	2	blue	1	230	False	False	correct_rejection	n/a
35.620117	0.5	constant	3	blue	1	210	False	False	correct_rejection	n/a
36.120117	0.5	constant	4	blue	1	190	False	False	correct_rejection	n/a
37.136719	0.5	violation-colour	1	green	4	180	False	False	correct_rejection	n/a
37.636719	0.5	violation-colour	2	green	4	195	False	False	correct_rejection	n/a
38.136719	0.5	violation-colour	3	green	4	210	False	False	correct_rejection	n/a
38.636719	0.5	violation-colour	4	red	4	225	False	False	correct_rejection	n/a
39.652344	0.5	violation-shape	1	green	3	250	False	False	correct_rejection	n/a
40.136719	0.5	violation-shape	2	green	3	230	False	False	correct_rejection	n/a
40.636719	0.5	violation-shape	3	green	3	210	False	False	correct_rejection	n/a
41.136719	0.5	violation-shape	4	green	2	190	False	False	correct_rejection	n/a
42.15332	0.5	constant	1	yellow	2	250	False	False	correct_rejection	n/a
42.65332	0.5	constant	2	yellow	2	230	False	False	correct_rejection	n/a
43.15332	0.5	constant	3	yellow	2	210	False	False	correct_rejection	n/a
43.65332	0.5	constant	4	yellow	2	190	False	False	correct_rejection	n/a
44.668945	0.5	neutral-colour	1	red	2	180	False	False	correct_rejection	n/a
45.15332	0.5	neutral-colour	2	yellow	2	195	False	False	correct_rejection	n/a
45.652344	0.5	neutral-colour	3	green	2	210	False	False	correct_rejection	n/a
46.152344	0.5	neutral-colour	4	yellow	2	225	False	False	correct_rejection	n/a
47.167969	0.5	constant	1	green	4	250	False	False	correct_rejection	n/a
47.652344	0.5	constant	2	green	4	230	False	False	correct_rejection	n/a
48.152344	0.5	constant	3	green	4	210	False	False	correct_rejection	n/a
48.652344	0.5	constant	4	green	4	190	False	False	correct_rejection	n/a
49.669922	0.5	violation-colour	1	red	1	250	True	False	hit	n/a
50.168945	0.5	violation-colour	2	red	1	230	True	False	hit	n/a
50.668945	0.5	violation-colour	3	red	1	210	True	True	hit	0.599963136017
51.168945	0.5	violation-colour	4	blue	1	190	True	False	hit	n/a
52.18457	0.5	violation-orientation	1	yellow	4	180	False	False	correct_rejection	n/a
52.668945	0.5	violation-orientation	2	yellow	4	195	False	False	correct_rejection	n/a
53.168945	0.5	violation-orientation	3	yellow	4	210	False	False	correct_rejection	n/a
53.668945	0.5	violation-orientation	4	yellow	4	190	False	False	correct_rejection	n/a
54.68457	0.5	constant	1	blue	4	180	False	False	correct_rejection	n/a
55.168945	0.5	constant	2	blue	4	195	False	False	correct_rejection	n/a
55.668945	0.5	constant	3	blue	4	210	False	False	correct_rejection	n/a
56.168945	0.5	constant	4	blue	4	225	False	False	correct_rejection	n/a
57.186523	0.5	violation-shape	1	yellow	3	180	False	False	correct_rejection	n/a
57.685547	0.5	violation-shape	2	yellow	3	195	False	False	correct_rejection	n/a
58.185547	0.5	violation-shape	3	yellow	3	210	False	False	correct_rejection	n/a
58.685547	0.5	violation-shape	4	yellow	1	225	False	False	correct_rejection	n/a
59.701172	0.5	neutral-shape	1	red	3	180	False	False	correct_rejection	n/a
60.185547	0.5	neutral-shape	2	red	4	195	False	False	correct_rejection	n/a
60.685547	0.5	neutral-shape	3	red	2	210	False	False	correct_rejection	n/a
61.185547	0.5	neutral-shape	4	red	1	225	False	False	correct_rejection	n/a
62.201172	0.5	constant	1	red	2	180	False	False	correct_rejection	n/a
62.685547	0.5	constant	2	red	2	195	False	False	correct_rejection	n/a
63.185547	0.5	constant	3	red	2	210	False	False	correct_rejection	n/a
63.685547	0.5	constant	4	red	2	225	False	False	correct_rejection	n/a
64.703125	0.5	violation-shape	1	yellow	1	180	False	False	correct_rejection	n/a
65.202148	0.5	violation-shape	2	yellow	1	195	False	False	correct_rejection	n/a
65.702148	0.5	violation-shape	3	yellow	1	210	False	False	correct_rejection	n/a
66.202148	0.5	violation-shape	4	yellow	4	225	False	False	correct_rejection	n/a
67.217773	0.5	neutral-shape	1	red	3	180	False	False	correct_rejection	n/a
67.702148	0.5	neutral-shape	2	red	2	195	False	False	correct_rejection	n/a
68.202148	0.5	neutral-shape	3	red	4	210	False	False	correct_rejection	n/a
68.702148	0.5	neutral-shape	4	red	3	225	False	False	correct_rejection	n/a
69.717773	0.5	constant	1	blue	1	250	False	False	correct_rejection	n/a
70.202148	0.5	constant	2	blue	1	230	False	False	correct_rejection	n/a
70.71875	0.5	constant	3	blue	1	210	False	False	correct_rejection	n/a
71.21875	0.5	constant	4	blue	1	190	False	False	correct_rejection	n/a
72.235352	0.5	constant	1	green	2	250	False	False	correct_rejection	n/a
72.71875	0.5	constant	2	green	2	230	False	False	correct_rejection	n/a
73.21875	0.5	constant	3	green	2	210	False	False	correct_rejection	n/a
73.71875	0.5	constant	4	green	2	190	False	False	correct_rejection	n/a
74.734375	0.5	violation-shape	1	yellow	2	180	False	False	correct_rejection	n/a
75.21875	0.5	violation-shape	2	yellow	2	195	False	False	correct_rejection	n/a
75.71875	0.5	violation-shape	3	yellow	2	210	False	False	correct_rejection	n/a
76.21875	0.5	violation-shape	4	yellow	4	225	False	False	correct_rejection	n/a
77.234375	0.5	violation-orientation	1	green	1	250	False	False	correct_rejection	n/a
77.71875	0.5	violation-orientation	2	green	1	230	False	False	correct_rejection	n/a
78.21875	0.5	violation-orientation	3	green	1	210	False	False	correct_rejection	n/a
78.71875	0.5	violation-orientation	4	green	1	225	False	False	correct_rejection	n/a
79.735352	0.5	constant	1	yellow	2	250	False	False	correct_rejection	n/a
80.235352	0.5	constant	2	yellow	2	230	False	False	correct_rejection	n/a
80.735352	0.5	constant	3	yellow	2	210	False	False	correct_rejection	n/a
81.235352	0.5	constant	4	yellow	2	190	False	False	correct_rejection	n/a
82.250977	0.5	constant	1	green	2	250	False	False	correct_rejection	n/a
82.735352	0.5	constant	2	green	2	230	False	False	correct_rejection	n/a
83.235352	0.5	constant	3	green	2	210	False	False	correct_rejection	n/a
83.735352	0.5	constant	4	green	2	190	False	False	correct_rejection	n/a
84.750977	0.5	constant	1	yellow	3	180	False	False	correct_rejection	n/a
85.235352	0.5	constant	2	yellow	3	195	False	False	correct_rejection	n/a
85.735352	0.5	constant	3	yellow	3	210	False	False	correct_rejection	n/a
86.235352	0.5	constant	4	yellow	3	225	False	False	correct_rejection	n/a
87.250977	0.5	violation-colour	1	green	2	250	False	False	correct_rejection	n/a
87.735352	0.5	violation-colour	2	green	2	230	False	False	correct_rejection	n/a
88.235352	0.5	violation-colour	3	green	2	210	False	False	correct_rejection	n/a
88.734375	0.5	violation-colour	4	red	2	190	False	False	correct_rejection	n/a
89.75	0.5	neutral-colour	1	yellow	2	180	False	False	correct_rejection	n/a
90.234375	0.5	neutral-colour	2	blue	2	195	False	False	correct_rejection	n/a
90.734375	0.5	neutral-colour	3	red	2	210	False	False	correct_rejection	n/a
91.234375	0.5	neutral-colour	4	green	2	225	False	False	correct_rejection	n/a
92.25	0.5	constant	1	red	4	180	False	False	correct_rejection	n/a
92.734375	0.5	constant	2	red	4	195	False	False	correct_rejection	n/a
93.234375	0.5	constant	3	red	4	210	False	False	correct_rejection	n/a
93.734375	0.5	constant	4	red	4	225	False	False	correct_rejection	n/a
94.751953	0.5	constant	1	red	2	250	False	False	correct_rejection	n/a
95.250977	0.5	constant	2	red	2	230	False	False	correct_rejection	n/a
95.750977	0.5	constant	3	red	2	210	False	False	correct_rejection	n/a
96.250977	0.5	constant	4	red	2	190	False	False	correct_rejection	n/a
97.266602	0.5	violation-shape	1	blue	4	250	False	False	correct_rejection	n/a
97.750977	0.5	violation-shape	2	blue	4	230	False	False	correct_rejection	n/a
98.250977	0.5	violation-shape	3	blue	4	210	False	False	correct_rejection	n/a
98.750977	0.5	violation-shape	4	blue	1	190	False	False	correct_rejection	n/a
99.766602	0.5	violation-orientation	1	blue	3	250	True	False	hit	n/a
100.250977	0.5	violation-orientation	2	blue	3	230	True	True	hit	0.55023180804
100.750977	0.5	violation-orientation	3	blue	3	210	True	False	hit	n/a
101.250977	0.5	violation-orientation	4	blue	3	225	True	False	hit	n/a
102.267578	0.5	constant	1	red	2	250	False	False	correct_rejection	n/a
102.750977	0.5	constant	2	red	2	230	False	False	correct_rejection	n/a
103.250977	0.5	constant	3	red	2	210	False	False	correct_rejection	n/a
103.750977	0.5	constant	4	red	2	190	False	False	correct_rejection	n/a
104.766602	0.5	neutral-colour	1	red	2	180	False	False	correct_rejection	n/a
105.250977	0.5	neutral-colour	2	yellow	2	195	False	False	correct_rejection	n/a
105.750977	0.5	neutral-colour	3	green	2	210	False	False	correct_rejection	n/a
106.250977	0.5	neutral-colour	4	blue	2	225	False	False	correct_rejection	n/a
107.266602	0.5	neutral-colour	1	blue	2	250	False	False	correct_rejection	n/a
107.750977	0.5	neutral-colour	2	yellow	2	230	False	False	correct_rejection	n/a
108.250977	0.5	neutral-colour	3	red	2	210	False	False	correct_rejection	n/a
108.750977	0.5	neutral-colour	4	blue	2	190	False	False	correct_rejection	n/a
109.767578	0.5	violation-shape	1	red	1	180	False	False	correct_rejection	n/a
110.250977	0.5	violation-shape	2	red	1	195	False	False	correct_rejection	n/a
110.750977	0.5	violation-shape	3	red	1	210	False	False	correct_rejection	n/a
111.250977	0.5	violation-shape	4	red	4	225	False	False	correct_rejection	n/a
112.266602	0.5	violation-colour	1	green	1	250	False	False	correct_rejection	n/a
112.750977	0.5	violation-colour	2	green	1	230	False	False	correct_rejection	n/a
113.250977	0.5	violation-colour	3	green	1	210	False	False	correct_rejection	n/a
