onset	duration	trial_type	image_n	colour	shape	orientation	catch_trial	catch_on	catch_outcome	response_time
38.711914	0.5	constant	1	blue	3	0	False	False	correct_rejection	n/a
39.200195	0.5	constant	2	blue	3	20	False	False	correct_rejection	n/a
39.700195	0.5	constant	3	blue	3	40	False	False	correct_rejection	n/a
40.200195	0.5	constant	4	blue	3	60	False	False	correct_rejection	n/a
41.216797	0.5	neutral-colour	1	green	3	0	True	False	hit	n/a
41.716797	0.5	neutral-colour	2	blue	3	20	True	False	hit	n/a
42.216797	0.5	neutral-colour	3	yellow	3	40	True	True	hit	0.450170367956
42.716797	0.5	neutral-colour	4	red	3	60	True	False	hit	n/a
43.734375	0.5	violation-colour	1	red	4	0	False	False	correct_rejection	n/a
44.233398	0.5	violation-colour	2	red	4	20	False	False	correct_rejection	n/a
44.733398	0.5	violation-colour	3	red	4	40	False	False	correct_rejection	n/a
45.233398	0.5	violation-colour	4	green	4	60	False	False	correct_rejection	n/a
46.25	0.5	violation-orientation	1	green	4	0	False	False	correct_rejection	n/a
46.733398	0.5	violation-orientation	2	green	4	20	False	False	correct_rejection	n/a
47.233398	0.5	violation-orientation	3	green	4	40	False	False	correct_rejection	n/a
47.733398	0.5	violation-orientation	4	green	4	25	False	False	correct_rejection	n/a
48.749023	0.5	constant	1	yellow	2	0	False	False	correct_rejection	n/a
49.233398	0.5	constant	2	yellow	2	20	False	False	correct_rejection	n/a
49.733398	0.5	constant	3	yellow	2	40	False	False	correct_rejection	n/a
50.233398	0.5	constant	4	yellow	2	60	False	False	correct_rejection	n/a
51.249023	0.5	violation-orientation	1	green	2	0	False	False	correct_rejection	n/a
51.733398	0.5	violation-orientation	2	green	2	20	False	False	correct_rejection	n/a
52.233398	0.5	violation-orientation	3	green	2	40	False	False	correct_rejection	n/a
52.733398	0.5	violation-orientation	4	green	2	25	False	False	correct_rejection	n/a
53.75	0.5	neutral-colour	1	yellow	3	0	False	False	correct_rejection	n/a
54.25	0.5	neutral-colour	2	green	3	20	False	False	correct_rejection	n/a
54.75	0.5	neutral-colour	3	blue	3	40	False	False	correct_rejection	n/a
55.25	0.5	neutral-colour	4	yellow	3	60	False	False	correct_rejection	n/a
56.264648	0.5	violation-colour	1	yellow	4	0	False	False	correct_rejection	n/a
56.75	0.5	violation-colour	2	yellow	4	20	False	False	correct_rejection	n/a
57.25	0.5	violation-colour	3	yellow	4	40	False	False	correct_rejection	n/a
57.75	0.5	violation-colour	4	red	4	60	False	False	correct_rejection	n/a
58.766602	0.5	violation-shape	1	red	1	70	False	False	correct_rejection	n/a
59.25	0.5	violation-shape	2	red	1	55	False	False	correct_rejection	n/a
59.75	0.5	violation-shape	3	red	1	40	False	False	correct_rejection	n/a
60.25	0.5	violation-shape	4	red	4	25	False	False	correct_rejection	n/a
61.265625	0.5	neutral-shape	1	green	2	0	False	False	correct_rejection	n/a
61.749023	0.5	neutral-shape	2	green	3	20	False	False	correct_rejection	n/a
62.249023	0.5	neutral-shape	3	green	4	40	False	False	correct_rejection	n/a
62.749023	0.5	neutral-shape	4	green	1	60	False	False	correct_rejection	n/a
63.764648	0.5	violation-colour	1	yellow	2	70	True	True	hit	0.51802086411
64.249023	0.5	violation-colour	2	yellow	2	55	True	False	hit	n/a
64.749023	0.5	violation-colour	3	yellow	2	40	True	False	hit	n/a
65.249023	0.5	violation-colour	4	green	2	25	True	False	hit	n/a
66.265625	0.5	violation-orientation	1	yellow	3	0	False	False	correct_rejection	n/a
66.749023	0.5	violation-orientation	2	yellow	3	20	False	False	correct_rejection	n/a
67.249023	0.5	violation-orientation	3	yellow	3	40	False	False	correct_rejection	n/a
67.749023	0.5	violation-orientation	4	yellow	3	25	False	False	correct_rejection	n/a
68.765625	0.5	violation-shape	1	blue	2	70	False	False	correct_rejection	n/a
69.249023	0.5	violation-shape	2	blue	2	55	False	False	correct_rejection	n/a
69.749023	0.5	violation-shape	3	blue	2	40	False	False	correct_rejection	n/a
70.249023	0.5	violation-shape	4	blue	4	25	False	False	correct_rejection	n/a
71.264648	0.5	constant	1	red	3	0	False	False	correct_rejection	n/a
71.749023	0.5	constant	2	red	3	20	False	False	correct_rejection	n/a
72.249023	0.5	constant	3	red	3	40	False	False	correct_rejection	n/a
72.749023	0.5	constant	4	red	3	60	False	False	correct_rejection	n/a
73.763672	0.5	violation-colour	1	yellow	3	0	False	False	correct_rejection	n/a
74.249023	0.5	violation-colour	2	yellow	3	20	False	False	correct_rejection	n/a
74.749023	0.5	violation-colour	3	yellow	3	40	False	False	correct_rejection	n/a
75.249023	0.5	violation-colour	4	blue	3	60	False	False	correct_rejection	n/a
76.265625	0.5	violation-shape	1	blue	3	70	False	False	correct_rejection	n/a
76.749023	0.5	violation-shape	2	blue	3	55	False	False	correct_rejection	n/a
77.249023	0.5	violation-shape	3	blue	3	40	False	False	correct_rejection	n/a
77.749023	0.5	violation-shape	4	blue	4	25	False	False	correct_rejection	n/a
78.764648	0.5	constant	1	yellow	1	70	False	False	correct_rejection	n/a
79.249023	0.5	constant	2	yellow	1	55	False	False	correct_rejection	n/a
79.749023	0.5	constant	3	yellow	1	40	False	False	correct_rejection	n/a
80.249023	0.5	constant	4	yellow	1	25	False	False	correct_rejection	n/a
81.264648	0.5	constant	1	red	4	0	False	False	correct_rejection	n/a
81.749023	0.5	constant	2	red	4	20	False	False	correct_rejection	n/a
82.249023	0.5	constant	3	red	4	40	False	False	correct_rejection	n/a
82.749023	0.5	constant	4	red	4	60	False	False	correct_rejection	n/a
83.765625	0.5	violation-shape	1	red	2	0	True	False	hit	n/a
84.265625	0.5	violation-shape	2	red	2	20	True	False	hit	n/a
84.765625	0.5	violation-shape	3	red	2	40	True	True	hit	0.416762624169
85.265625	0.5	violation-shape	4	red	1	60	True	False	hit	n/a
86.282227	0.5	violation-colour	1	green	1	70	False	False	correct_rejection	n/a
86.765625	0.5	violation-colour	2	green	1	55	False	False	correct_rejection	n/a
87.265625	0.5	violation-colour	3	green	1	40	False	False	correct_rejection	n/a
87.765625	0.5	violation-colour	4	red	1	25	False	False	correct_rejection	n/a
88.780273	0.5	constant	1	green	1	70	False	False	correct_rejection	n/a
89.265625	0.5	constant	2	green	1	55	False	False	correct_rejection	n/a
89.765625	0.5	constant	3	green	1	40	False	False	correct_rejection	n/a
90.265625	0.5	constant	4	green	1	25	False	False	correct_rejection	n/a
91.282227	0.5	constant	1	green	3	70	False	False	correct_rejection	n/a
91.782227	0.5	constant	2	green	3	55	False	False	correct_rejection	n/a
92.282227	0.5	constant	3	green	3	40	False	False	correct_rejection	n/a
92.782227	0.5	constant	4	green	3	25	False	False	correct_rejection	n/a
93.796875	0.5	constant	1	yellow	4	70	False	False	correct_rejection	n/a
94.282227	0.5	constant	2	yellow	4	55	False	False	correct_rejection	n/a
94.782227	0.5	constant	3	yellow	4	40	False	False	correct_rejection	n/a
95.282227	0.5	constant	4	yellow	4	25	False	False	correct_rejection	n/a
96.296875	0.5	neutral-shape	1	green	4	70	False	False	correct_rejection	n/a
96.782227	0.5	neutral-shape	2	green	3	55	False	False	correct_rejection	n/a
97.282227	0.5	neutral-shape	3	green	2	40	False	False	correct_rejection	n/a
97.782227	0.5	neutral-shape	4	green	1	25	False	False	correct_rejection	n/a
98.797852	0.5	constant	1	yellow	3	0	False	False	correct_rejection	n/a
99.282227	0.5	constant	2	yellow	3	20	False	False	correct_rejection	n/a
99.78125	0.5	constant	3	yellow	3	40	False	False	correct_rejection	n/a
100.28125	0.5	constant	4	yellow	3	60	False	False	correct_rejection	n/a
101.296875	0.5	constant	1	blue	2	0	False	False	correct_rejection	n/a
101.78125	0.5	constant	2	blue	2	20	False	False	correct_rejection	n/a
102.28125	0.5	constant	3	blue	2	40	False	False	correct_rejection	n/a
102.78125	0.5	constant	4	blue	2	60	False	False	correct_rejection	n/a
103.797852	0.5	violation-orientation	1	blue	1	70	False	False	correct_rejection	n/a
104.28125	0.5	violation-orientation	2	blue	1	55	False	False	correct_rejection	n/a
104.78125	0.5	violation-orientation	3	blue	1	40	False	False	correct_rejection	n/a
105.28125	0.5	violation-orientation	4	blue	1	60	False	False	correct_rejection	n/a
106.297852	0.5	violation-colour	1	green	2	0	True	True	hit	0.417383424006
106.78125	0.5	violation-colour	2	green	2	20	True	False	hit	n/a
107.28125	0.5	violation-colour	3	green	2	40	True	False	hit	n/a
107.78125	0.5	violation-colour	4	red	2	60	True	False	hit	n/a
108.797852	0.5	constant	1	red	2	0	False	False	correct_rejection	n/a
109.28125	0.5	constant	2	red	2	20	False	False	correct_rejection	n/a
109.78125	0.5	constant	3	red	2	40	False	False	correct_rejection	n/a
110.28125	0.5	constant	4	red	2	60	False	False	correct_rejection	n/a
111.296875	0.5	violation-shape	1	yellow	1	70	False	False	correct_rejection	n/a
111.78125	0.5	violation-shape	2	yellow	1	55	False	False	correct_rejection	n/a
112.28125	0.5	violation-shape	3	yellow	1	40	False	False	correct_rejection	n/a
112.78125	0.5	violation-shape	4	yellow	2	25	False	False	correct_rejection	n/a
113.797852	0.5	violation-orientation	1	green	1	0	False	False	correct_rejection	n/a
114.297852	0.5	violation-orientation	2	green	1	20	False	False	correct_rejection	n/a
114.797852	0.5	violation-orientation	3	green	1	40	False	False	correct_rejection	n/a
115.297852	0.5	violation-orientation	4	green	1	25	False	False	correct_rejection	n/a
116.313477	0.5	constant	1	green	2	70	False	False	correct_rejection	n/a
116.797852	0.5	constant	2	green	2	55	False	False	correct_rejection	n/a
117.297852	0.5	constant	3	green	2	40	False	False	correct_rejection	n/a
117.797852	0.5	constant	4	green	2	25	False	False	correct_rejection	n/a
118.813477	0.5	constant	1	blue	1	0	False	False	correct_rejection	n/a
119.297852	0.5	constant	2	blue	1	20	False	False	correct_rejection	n/a
119.797852	0.5	constant	3	blue	1	40	False	False	correct_rejection	n/a
120.297852	0.5	constant	4	blue	1	60	False	False	correct_rejection	n/a
121.313477	0.5	neutral-shape	1	green	1	0	False	False	correct_rejection	n/a
121.797852	0.5	neutral-shape	2	green	4	20	False	False	correct_rejection	n/a
122.297852	0.5	neutral-shape	3	green	2	40	False	False	correct_rejection	n/a
122.797852	0.5	neutral-shape	4	green	4	60	False	False	correct_rejection	n/a
123.813477	0.5	violation-colour	1	green	3	0	False	False	correct_rejection	n/a
124.297852	0.5	violation-colour	2	green	3	20	False	False	correct_rejection	n/a
124.797852	0.5	violation-colour	3	green	3	40	False	False	correct_rejection	n/a
125.297852	0.5	violation-colour	4	blue	3	60	False	False	correct_rejection	n/a
126.3125	0.5	constant	1	yellow	2	0	False	False	correct_rejection	n/a
126.797852	0.5	constant	2	yellow	2	20	False	False	correct_rejection	n/a
127.297852	0.5	constant	3	yellow	2	40	False	False	correct_rejection	n/a
127.797852	0.5	constant	4	yellow	2	60	False	False	correct_rejection	n/a
128.813477	0.5	constant	1	red	2	0	False	False	correct_rejection	n/a
129.297852	0.5	constant	2	red	2	20	False	False	correct_rejection	n/a
129.797852	0.5	constant	3	red	2	40	False	False	correct_rejection	n/a
130.297852	0.5	constant	4	red	2	60	False	False	correct_rejection	n/a
131.3125	0.5	violation-shape	1	red	2	70	False	False	correct_rejection	n/a
131.796875	0.5	violation-shape	2	red	2	55	False	False	correct_rejection	n/a
132.297852	0.5	violation-shape	3	red	2	40	False	False	correct_rejection	n/a
132.797852	0.5	violation-shape	4	red	4	25	False	False	correct_rejection	n/a
133.8125	0.5	constant	1	blue	4	70	False	False	correct_rejection	n/a
134.296875	0.5	constant	2	blue	4	55	False	False	correct_rejection	n/a
134.796875	0.5	constant	3	blue	4	40	False	False	correct_rejection	n/a
135.296875	0.5	constant	4	blue	4	25	False	False	correct_rejection	n/a
136.314453	0.5	neutral-colour	1	green	1	70	False	False	correct_rejection	n/a
136.813477	0.5	neutral-colour	2	yellow	1	55	False	False	correct_rejection	n/a
137.313477	0.5	neutral-colour	3	red	1	40	False	False	correct_rejection	n/a
137.813477	0.5	neutral-colour	4	blue	1	25	False	False	correct_rejection	n/a
138.829102	0.5	constant	1	yellow	4	0	False	False	correct_rejection	n/a
139.313477	0.5	constant	2	yellow	4	20	False	False	correct_rejection	n/a
139.813477	0.5	constant	3	yellow	4	40	False	False	correct_rejection	n/a
140.313477	0.5	constant	4	yellow	4	60	False	False	correct_rejection	n/a
141.329102	0.5	constant	1	red	3	0	False	False	correct_rejection	n/a
141.813477	0.5	constant	2	red	3	20	False	False	correct_rejection	n/a
142.313477	0.5	constant	3	red	3	40	False	False	correct_rejection	n/a
142.813477	0.5	constant	4	red	3	60	False	False	correct_rejection	n/a
143.830078	0.5	constant	1	yellow	3	0	False	False	correct_rejection	n/a
144.313477	0.5	constant	2	yellow	3	20	False	False	correct_rejection	n/a
144.813477	0.5	constant	3	yellow	3	40	False	False	correct_rejection	n/a
145.313477	0.5	constant	4	yellow	3	60	False	False	correct_rejection	n/a
146.329102	0.5	violation-shape	1	green	4	70	False	False	correct_rejection	n/a
146.813477	0.5	violation-shape	2	green	4	55	False	False	correct_rejection	n/a
147.313477	0.5	violation-shape	3	green	4	40	False	False	correct_rejection	n/a
147.813477	0.5	violation-shape	4	green	3	25	False	False	correct_rejection	n/a
148.828125	0.5	constant	1	green	4	70	False	False	correct_rejection	n/a
149.313477	0.5	constant	2	green	4	55	False	False	correct_rejection	n/a
149.813477	0.5	constant	3	green	4	40	False	False	correct_rejection	n/a
150.313477	0.5	constant	4	green	4	25	False	False	correct_rejection	n/a
151.330078	0.5	violation-orientation	1	blue	3	70	False	False	correct_rejection	n/a
151.813477	0.5	violation-orientation	2	blue	3	55	False	False	correct_rejection	n/a
152.313477	0.5	violation-orientation	3	blue	3	40	False	False	correct_rejection	n/a
152.813477	0.5	violation-orientation	4	blue	3	60	False	False	correct_rejection	n/a
153.828125	0.5	neutral-shape	1	green	3	0	False	False	correct_rejection	n/a
154.313477	0.5	neutral-shape	2	green	4	20	False	False	correct_rejection	n/a
154.813477	0.5	neutral-shape	3	green	2	40	False	False	correct_rejection	n/a
155.313477	0.5	neutral-shape	4	green	1	60	False	False	correct_rejection	n/a
156.328125	0.5	neutral-shape	1	blue	1	70	False	False	correct_rejection	n/a
156.813477	0.5	neutral-shape	2	blue	3	55	False	False	correct_rejection	n/a
157.313477	0.5	neutral-shape	3	blue	4	40	False	False	correct_rejection	n/a
157.813477	0.5	neutral-shape	4	blue	2	25	False	False	correct_rejection	n/a
158.829102	0.5	violation-colour	1	red	2	0	False	False	correct_rejection	n/a
159.313477	0.5	violation-colour	2	red	2	20	False	False	correct_rejection	n/a
159.813477	0.5	violation-colour	3	red	2	40	False	False	correct_rejection	n/a
160.313477	0.5	violation-colour	4	blue	2	60	False	False	correct_rejection	n/a
161.328125	0.5	constant	1	red	1	0	False	False	correct_rejection	n/a
161.813477	0.5	constant	2	red	1	20	False	False	correct_rejection	n/a
162.313477	0.5	constant	3	red	1	40	False	False	correct_rejection	n/a
162.813477	0.5	constant	4	red	1	60	False	False	correct_rejection	n/a
163.829102	0.5	neutral-shape	1	red	2	70	False	False	correct_rejection	n/a
164.313477	0.5	neutral-shape	2	red	1	55	False	False	correct_rejection	n/a
164.813477	0.5	neutral-shape	3	red	3	40	False	False	correct_rejection	n/a
165.313477	0.5	neutral-shape	4	red	4	25	False	False	correct_rejection	n/a
166.329102	0.5	neutral-shape	1	blue	2	0	False	False	correct_rejection	n/a
166.8125	0.5	neutral-shape	2	blue	4	20	False	False	correct_rejection	n/a
167.3125	0.5	neutral-shape	3	blue	1	40	False	False	correct_rejection	n/a
167.813477	0.5	neutral-shape	4	blue	3	60	False	False	correct_rejection	n/a
168.827148	0.5	violation-shape	1	yellow	4	70	False	False	correct_rejection	n/a
169.3125	0.5	violation-shape	2	yellow	4	55	False	False	correct_rejection	n/a
169.8125	0.5	violation-shape	3	yellow	4	40	False	False	correct_rejection	n/a
170.3125	0.5	violation-shape	4	yellow	2	25	False	False	correct_rejection	n/a
171.328125	0.5	constant	1	yellow	2	70	False	False	correct_rejection	n/a
171.8125	0.5	constant	2	yellow	2	55	False	False	correct_rejection	n/a
172.3125	0.5	constant	3	yellow	2	40	False	False	correct_rejection	n/a
172.8125	0.5	constant	4	yellow	2	25	False	False	correct_rejection	n/a
173.829102	0.5	violation-shape	1	red	4	0	False	False	correct_rejection	n/a
174.3125	0.5	violation-shape	2	red	4	20	False	False	correct_rejection	n/a
174.8125	0.5	violation-shape	3	red	4	40	False	False	correct_rejection	n/a
175.3125	0.5	violation-shape	4	red	3	60	False	False	correct_rejection	n/a
176.329102	0.5	violation-orientation	1	green	3	0	True	False	hit	n/a
176.8125	0.5	violation-orientation	2	green	3	20	True	False	hit	n/a
177.3125	0.5	violation-orientation	3	green	3	40	True	True	hit	0.550243071979
177.8125	0.5	violation-orientation	4	green	3	25	True	False	hit	n/a
178.828125	0.5	constant	1	green	1	0	False	False	correct_rejection	n/a
179.3125	0.5	constant	2	green	1	20	False	False	correct_rejection	n/a
179.8125	0.5	constant	3	green	1	40	False	False	correct_rejection	n/a
180.3125	0.5	constant	4	green	1	60	False	False	correct_rejection	n/a
181.329102	0.5	violation-colour	1	green	3	70	False	False	correct_rejection	n/a
181.829102	0.5	violation-colour	2	green	3	55	False	False	correct_rejection	n/a
182.329102	0.5	violation-colour	3	green	3	40	False	False	correct_rejection	n/a
182.829102	0.5	violation-colour	4	yellow	3	25	False	False	correct_rejection	n/a
183.844727	0.5	constant	1	red	4	0	False	False	correct_rejection	n/a
184.329102	0.5	constant	2	red	4	20	False	False	correct_rejection	n/a
184.829102	0.5	constant	3	red	4	40	False	False	correct_rejection	n/a
185.329102	0.5	constant	4	red	4	60	False	False	correct_rejection	n/a
186.344727	0.5	violation-colour	1	red	3	0	False	False	correct_rejection	n/a
186.829102	0.5	violation-colour	2	red	3	20	False	False	correct_rejection	n/a
187.329102	0.5	violation-colour	3	red	3	40	False	False	correct_rejection	n/a
187.829102	0.5	violation-colour	4	yellow	3	60	False	False	correct_rejection	n/a
188.844727	0.5	violation-shape	1	red	2	0	False	False	correct_rejection	n/a
189.329102	0.5	violation-shape	2	red	2	20	False	False	correct_rejection	n/a
189.829102	0.5	violation-shape	3	red	2	40	False	False	correct_rejection	n/a
190.329102	0.5	violation-shape	4	red	4	60	False	False	correct_rejection	n/a
191.34375	0.5	violation-shape	1	blue	3	0	False	False	correct_rejection	n/a
191.829102	0.5	violation-shape	2	blue	3	20	False	False	correct_rejection	n/a
192.329102	0.5	violation-shape	3	blue	3	40	False	False	correct_rejection	n/a
192.829102	0.5	violation-shape	4	blue	4	60	False	False	correct_rejection	n/a
193.84375	0.5	neutral-shape	1	yellow	1	0	False	False	correct_rejection	n/a
194.329102	0.5	neutral-shape	2	yellow	2	20	False	False	correct_rejection	n/a
194.829102	0.5	neutral-shape	3	yellow	4	40	False	False	correct_rejection	n/a
195.329102	0.5	neutral-shape	4	yellow	1	60	False	False	correct_rejection	n/a
196.344727	0.5	violation-shape	1	green	4	0	False	False	correct_rejection	n/a
196.829102	0.5	violation-shape	2	green	4	20	False	False	correct_rejection	n/a
197.329102	0.5	violation-shape	3	green	4	40	False	False	correct_rejection	n/a
197.829102	0.5	violation-shape	4	green	3	60	False	False	correct_rejection	n/a
198.84375	0.5	constant	1	red	4	70	False	False	correct_rejection	n/a
199.329102	0.5	constant	2	red	4	55	False	False	correct_rejection	n/a
199.829102	0.5	constant	3	red	4	40	False	False	correct_rejection	n/a
200.329102	0.5	constant	4	red	4	25	False	False	correct_rejection	n/a
201.34375	0.5	violation-shape	1	green	1	0	False	False	correct_rejection	n/a
201.829102	0.5	violation-shape	2	green	1	20	False	False	correct_rejection	n/a
202.329102	0.5	violation-shape	3	green	1	40	False	False	correct_rejection	n/a
202.829102	0.5	violation-shape	4	green	2	60	False	False	correct_rejection	n/a
203.844727	0.5	constant	1	blue	4	70	False	False	correct_rejection	n/a
204.328125	0.5	constant	2	blue	4	55	False	False	correct_rejection	n/a
204.828125	0.5	constant	3	blue	4	40	False	False	correct_rejection	n/a
205.328125	0.5	constant	4	blue	4	25	False	False	correct_rejection	n/a
206.344727	0.5	violation-orientation	1	blue	1	0	False	False	correct_rejection	n/a
206.828125	0.5	violation-orientation	2	blue	1	20	False	False	correct_rejection	n/a
207.328125	0.5	violation-orientation	3	blue	1	40	False	False	correct_rejection	n/a
207.828125	0.5	violation-orientation	4	blue	1	25	False	False	correct_rejection	n/a
208.84375	0.5	constant	1	green	4	70	False	False	correct_rejection	n/a
209.328125	0.5	constant	2	green	4	55	False	False	correct_rejection	n/a
209.828125	0.5	constant	3	green	4	40	False	False	correct_rejection	n/a
210.328125	0.5	constant	4	green	4	25	False	False	correct_rejection	n/a
211.345703	0.5	constant	1	yellow	2	70	False	False	correct_rejection	n/a
211.844727	0.5	constant	2	yellow	2	55	False	False	correct_rejection	n/a
212.344727	0.5	constant	3	yellow	2	40	False	False	correct_rejection	n/a
212.844727	0.5	constant	4	yellow	2	25	False	False	correct_rejection	n/a
213.860352	0.5	violation-colour	1	green	3	0	False	False	correct_rejection	n/a
214.344727	0.5	violation-colour	2	green	3	20	False	False	correct_rejection	n/a
214.844727	0.5	violation-colour	3	green	3	40	False	False	correct_rejection	n/a
215.344727	0.5	violation-colour	4	yellow	3	60	False	False	correct_rejection	n/a
216.360352	0.5	violation-shape	1	red	1	0	False	False	correct_rejection	n/a
216.844727	0.5	violation-shape	2	red	1	20	False	False	correct_rejection	n/a
217.344727	0.5	violation-shape	3	red	1	40	False	False	correct_rejection	n/a
217.844727	0.5	violation-shape	4	red	3	60	False	False	correct_rejection	n/a
218.861328	0.5	violation-orientation	1	green	2	70	False	False	correct_rejection	n/a
219.344727	0.5	violation-orientation	2	green	2	55	False	False	correct_rejection	n/a
219.844727	0.5	violation-orientation	3	green	2	40	False	False	correct_rejection	n/a
220.344727	0.5	violation-orientation	4	green	2	60	False	False	correct_rejection	n/a
221.360352	0.5	constant	1	red	2	70	False	False	correct_rejection	n/a
221.844727	0.5	constant	2	red	2	55	False	False	correct_rejection	n/a
222.344727	0.5	constant	3	red	2	40	False	False	correct_rejection	n/a
222.844727	0.5	constant	4	red	2	25	False	False	correct_rejection	n/a
223.860352	0.5	constant	1	yellow	1	70	False	False	correct_rejection	n/a
224.344727	0.5	constant	2	yellow	1	55	False	False	correct_rejection	n/a
224.844727	0.5	constant	3	yellow	1	40	False	False	correct_rejection	n/a
225.344727	0.5	constant	4	yellow	1	25	False	False	correct_rejection	n/a
226.360352	0.5	constant	1	red	2	0	False	False	correct_rejection	n/a
226.844727	0.5	constant	2	red	2	20	False	False	correct_rejection	n/a
227.344727	0.5	constant	3	red	2	40	False	False	correct_rejection	n/a
227.844727	0.5	constant	4	red	2	60	False	False	correct_rejection	n/a
228.859375	0.5	neutral-colour	1	blue	4	70	False	False	correct_rejection	n/a
229.344727	0.5	neutral-colour	2	green	4	55	False	False	correct_rejection	n/a
229.844727	0.5	neutral-colour	3	yellow	4	40	False	False	correct_rejection	n/a
230.344727	0.5	neutral-colour	4	red	4	25	False	False	correct_rejection	n/a
231.360352	0.5	constant	1	yellow	1	70	False	False	correct_rejection	n/a
231.844727	0.5	constant	2	yellow	1	55	False	False	correct_rejection	n/a
232.344727	0.5	constant	3	yellow	1	40	False	False	correct_rejection	n/a
232.844727	0.5	constant	4	yellow	1	25	False	False	correct_rejection	n/a
233.861328	0.5	constant	1	blue	2	70	False	False	correct_rejection	n/a
234.344727	0.5	constant	2	blue	2	55	False	False	correct_rejection	n/a
234.844727	0.5	constant	3	blue	2	40	False	False	correct_rejection	n/a
235.344727	0.5	constant	4	blue	2	25	False	False	correct_rejection	n/a
236.358398	0.5	neutral-colour	1	red	4	0	False	False	correct_rejection	n/a
236.84375	0.5	neutral-colour	2	green	4	20	False	False	correct_rejection	n/a
237.34375	0.5	neutral-colour	3	yellow	4	40	False	False	correct_rejection	n/a
237.84375	0.5	neutral-colour	4	red	4	60	False	False	correct_rejection	n/a
238.860352	0.5	violation-orientation	1	yellow	1	70	False	False	correct_rejection	n/a
239.34375	0.5	violation-orientation	2	yellow	1	55	False	False	correct_rejection	n/a
239.84375	0.5	violation-orientation	3	yellow	1	40	False	False	correct_rejection	n/a
240.344727	0.5	violation-orientation	4	yellow	1	60	False	False	correct_rejection	n/a
241.360352	0.5	violation-colour	1	red	2	70	False	False	correct_rejection	n/a
241.84375	0.5	violation-colour	2	red	2	55	False	False	correct_rejection	n/a
242.34375	0.5	violation-colour	3	red	2	40	False	False	correct_rejection	n/a
242.84375	0.5	violation-colour	4	green	2	25	False	False	correct_rejection	n/a
243.860352	0.5	neutral-colour	1	blue	1	70	False	False	correct_rejection	n/a
244.34375	0.5	neutral-colour	2	red	1	55	False	False	correct_rejection	n/a
244.84375	0.5	neutral-colour	3	yellow	1	40	False	False	correct_rejection	n/a
245.34375	0.5	neutral-colour	4	blue	1	25	False	False	correct_rejection	n/a
246.359375	0.5	neutral-shape	1	blue	4	70	False	False	correct_rejection	n/a
246.84375	0.5	neutral-shape	2	blue	2	55	False	False	correct_rejection	n/a
247.34375	0.5	neutral-shape	3	blue	3	40	False	False	correct_rejection	n/a
247.84375	0.5	neutral-shape	4	blue	1	25	False	False	correct_rejection	n/a
248.860352	0.5	neutral-shape	1	green	3	70	False	False	correct_rejection	n/a
249.360352	0.5	neutral-shape	2	green	1	55	False	False	correct_rejection	n/a
249.860352	0.5	neutral-shape	3	green	2	40	False	False	correct_rejection	n/a
250.360352	0.5	neutral-shape	4	green	3	25	False	False	correct_rejection	n/a
251.375977	0.5	neutral-colour	1	green	1	0	False	False	correct_rejection	n/a
251.860352	0.5	neutral-colour	2	yellow	1	20	False	False	correct_rejection	n/a
252.360352	0.5	neutral-colour	3	red	1	40	False	False	correct_rejection	n/a
252.860352	0.5	neutral-colour	4	blue	1	60	False	False	correct_rejection	n/a
253.875977	0.5	violation-orientation	1	yellow	2	0	False	False	correct_rejection	n/a
254.360352	0.5	violation-orientation	2	yellow	2	20	False	False	correct_rejection	n/a
