onset	duration	trial_type	image_n	colour	shape	orientation	catch_trial	catch_on	catch_outcome	response_time
73.488281	0.5	neutral-shape	1	yellow	1	70	False	False	correct_rejection	n/a
73.973633	0.5	neutral-shape	2	yellow	2	55	False	False	correct_rejection	n/a
74.473633	0.5	neutral-shape	3	yellow	3	40	False	False	correct_rejection	n/a
74.973633	0.5	neutral-shape	4	yellow	2	25	False	False	correct_rejection	n/a
75.993164	0.5	constant	1	blue	3	70	False	False	correct_rejection	n/a
76.490234	0.5	constant	2	blue	3	55	False	False	correct_rejection	n/a
76.990234	0.5	constant	3	blue	3	40	False	False	correct_rejection	n/a
77.490234	0.5	constant	4	blue	3	25	False	False	correct_rejection	n/a
78.508789	0.5	violation-orientation	1	green	2	70	False	False	correct_rejection	n/a
79.006836	0.5	violation-orientation	2	green	2	55	False	False	correct_rejection	n/a
79.506836	0.5	violation-orientation	3	green	2	40	False	False	correct_rejection	n/a
80.006836	0.5	violation-orientation	4	green	2	60	False	False	correct_rejection	n/a
81.024414	0.5	violation-orientation	1	red	3	0	False	False	correct_rejection	n/a
81.523438	0.5	violation-orientation	2	red	3	20	False	False	correct_rejection	n/a
82.023438	0.5	violation-orientation	3	red	3	40	False	False	correct_rejection	n/a
82.523438	0.5	violation-orientation	4	red	3	25	False	False	correct_rejection	n/a
83.539062	0.5	violation-colour	1	green	2	70	False	False	correct_rejection	n/a
84.023438	0.5	violation-colour	2	green	2	55	False	False	correct_rejection	n/a
84.523438	0.5	violation-colour	3	green	2	40	False	False	correct_rejection	n/a
85.023438	0.5	violation-colour	4	yellow	2	25	False	False	correct_rejection	n/a
86.040039	0.5	neutral-shape	1	green	1	0	False	False	correct_rejection	n/a
86.540039	0.5	neutral-shape	2	green	2	20	False	False	correct_rejection	n/a
87.040039	0.5	neutral-shape	3	green	3	40	False	False	correct_rejection	n/a
87.540039	0.5	neutral-shape	4	green	1	60	False	False	correct_rejection	n/a
88.556641	0.5	violation-shape	1	yellow	4	70	False	False	correct_rejection	n/a
89.056641	0.5	violation-shape	2	yellow	4	55	False	False	correct_rejection	n/a
