onset	duration	trial_type	image_n	colour	shape	orientation	catch_trial	catch_on	catch_outcome	response_time
31.248047	0.5	constant	1	red	2	180	False	False	correct_rejection	n/a
31.734375	0.5	constant	2	red	2	195	False	False	correct_rejection	n/a
32.234375	0.5	constant	3	red	2	210	False	False	correct_rejection	n/a
32.734375	0.5	constant	4	red	2	225	False	False	correct_rejection	n/a
33.751953	0.5	neutral-shape	1	blue	4	250	False	False	correct_rejection	n/a
34.250977	0.5	neutral-shape	2	blue	2	230	False	False	correct_rejection	n/a
34.750977	0.5	neutral-shape	3	blue	1	210	False	False	correct_rejection	n/a
35.250977	0.5	neutral-shape	4	blue	4	190	False	False	correct_rejection	n/a
36.268555	0.5	constant	1	blue	2	180	False	False	correct_rejection	n/a
36.767578	0.5	constant	2	blue	2	195	False	False	correct_rejection	n/a
37.267578	0.5	constant	3	blue	2	210	False	False	correct_rejection	n/a
37.767578	0.5	constant	4	blue	2	225	False	False	correct_rejection	n/a
38.78418	0.5	constant	1	green	4	250	False	False	correct_rejection	n/a
39.267578	0.5	constant	2	green	4	230	False	False	correct_rejection	n/a
39.767578	0.5	constant	3	green	4	210	False	False	correct_rejection	n/a
40.267578	0.5	constant	4	green	4	190	False	False	correct_rejection	n/a
41.28418	0.5	constant	1	green	1	250	False	False	correct_rejection	n/a
41.767578	0.5	constant	2	green	1	230	False	False	correct_rejection	n/a
42.267578	0.5	constant	3	green	1	210	False	False	correct_rejection	n/a
42.767578	0.5	constant	4	green	1	190	False	False	correct_rejection	n/a
43.783203	0.5	constant	1	green	2	250	False	False	correct_rejection	n/a
44.267578	0.5	constant	2	green	2	230	False	False	correct_rejection	n/a
44.767578	0.5	constant	3	green	2	210	False	False	correct_rejection	n/a
45.267578	0.5	constant	4	green	2	190	False	False	correct_rejection	n/a
46.28418	0.5	neutral-colour	1	green	2	180	False	False	correct_rejection	n/a
46.78418	0.5	neutral-colour	2	blue	2	195	False	False	correct_rejection	n/a
47.28418	0.5	neutral-colour	3	red	2	210	False	False	correct_rejection	n/a
47.78418	0.5	neutral-colour	4	blue	2	225	False	False	correct_rejection	n/a
48.799805	0.5	constant	1	blue	2	180	False	False	correct_rejection	n/a
49.28418	0.5	constant	2	blue	2	195	False	False	correct_rejection	n/a
49.78418	0.5	constant	3	blue	2	210	False	False	correct_rejection	n/a
50.28418	0.5	constant	4	blue	2	225	False	False	correct_rejection	n/a
51.299805	0.5	neutral-shape	1	red	4	180	False	False	correct_rejection	n/a
51.78418	0.5	neutral-shape	2	red	3	195	False	False	correct_rejection	n/a
52.28418	0.5	neutral-shape	3	red	1	210	False	False	correct_rejection	n/a
52.78418	0.5	neutral-shape	4	red	2	225	False	False	correct_rejection	n/a
53.800781	0.5	constant	1	yellow	4	180	True	True	hit	0.566558207996
54.300781	0.5	constant	2	yellow	4	195	True	False	hit	n/a
54.800781	0.5	constant	3	yellow	4	210	True	False	hit	n/a
55.300781	0.5	constant	4	yellow	4	225	True	False	hit	n/a
56.317383	0.5	neutral-shape	1	green	2	180	False	False	correct_rejection	n/a
56.800781	0.5	neutral-shape	2	green	3	195	False	False	correct_rejection	n/a
57.300781	0.5	neutral-shape	3	green	4	210	False	False	correct_rejection	n/a
57.800781	0.5	neutral-shape	4	green	1	225	False	False	correct_rejection	n/a
58.81543	0.5	constant	1	green	4	250	False	False	correct_rejection	n/a
59.300781	0.5	constant	2	green	4	230	False	False	correct_rejection	n/a
59.800781	0.5	constant	3	green	4	210	False	False	correct_rejection	n/a
60.300781	0.5	constant	4	green	4	190	False	False	correct_rejection	n/a
61.317383	0.5	constant	1	green	3	250	False	False	correct_rejection	n/a
61.817383	0.5	constant	2	green	3	230	False	False	correct_rejection	n/a
62.317383	0.5	constant	3	green	3	210	False	False	correct_rejection	n/a
62.817383	0.5	constant	4	green	3	190	False	False	correct_rejection	n/a
63.833008	0.5	constant	1	green	3	180	False	False	correct_rejection	n/a
64.316406	0.5	constant	2	green	3	195	False	False	correct_rejection	n/a
64.816406	0.5	constant	3	green	3	210	False	False	correct_rejection	n/a
65.316406	0.5	constant	4	green	3	225	False	False	correct_rejection	n/a
66.332031	0.5	violation-shape	1	red	1	180	False	False	correct_rejection	n/a
66.816406	0.5	violation-shape	2	red	1	195	False	False	correct_rejection	n/a
