onset	duration	trial_type	image_n	colour	shape	orientation	catch_trial	catch_on	catch_outcome	response_time
26.803711	0.5	violation-orientation	1	green	2	180	False	False	correct_rejection	n/a
27.287109	0.5	violation-orientation	2	green	2	195	False	False	correct_rejection	n/a
27.787109	0.5	violation-orientation	3	green	2	210	False	False	correct_rejection	n/a
28.287109	0.5	violation-orientation	4	green	2	190	False	False	correct_rejection	n/a
29.302734	0.5	neutral-shape	1	blue	3	180	False	False	correct_rejection	n/a
29.787109	0.5	neutral-shape	2	blue	1	195	False	False	correct_rejection	n/a
30.287109	0.5	neutral-shape	3	blue	4	210	False	False	correct_rejection	n/a
30.787109	0.5	neutral-shape	4	blue	2	225	False	False	correct_rejection	n/a
31.805664	0.5	neutral-shape	1	green	3	180	False	False	correct_rejection	n/a
32.303711	0.5	neutral-shape	2	green	2	195	False	False	correct_rejection	n/a
32.803711	0.5	neutral-shape	3	green	4	210	False	False	correct_rejection	n/a
33.303711	0.5	neutral-shape	4	green	2	225	False	False	correct_rejection	n/a
34.320312	0.5	neutral-shape	1	green	4	180	False	False	correct_rejection	n/a
34.803711	0.5	neutral-shape	2	green	1	195	False	False	correct_rejection	n/a
35.303711	0.5	neutral-shape	3	green	2	210	False	False	correct_rejection	n/a
35.803711	0.5	neutral-shape	4	green	4	225	False	False	correct_rejection	n/a
36.819336	0.5	constant	1	red	2	180	False	False	correct_rejection	n/a
37.303711	0.5	constant	2	red	2	195	False	False	correct_rejection	n/a
37.803711	0.5	constant	3	red	2	210	False	False	correct_rejection	n/a
38.303711	0.5	constant	4	red	2	225	False	False	correct_rejection	n/a
39.321289	0.5	neutral-colour	1	green	1	250	False	False	correct_rejection	n/a
39.820312	0.5	neutral-colour	2	blue	1	230	False	False	correct_rejection	n/a
40.320312	0.5	neutral-colour	3	red	1	210	False	False	correct_rejection	n/a
40.820312	0.5	neutral-colour	4	green	1	190	False	False	correct_rejection	n/a
41.837891	0.5	violation-colour	1	red	3	250	False	False	correct_rejection	n/a
42.336914	0.5	violation-colour	2	red	3	230	False	False	correct_rejection	n/a
42.836914	0.5	violation-colour	3	red	3	210	False	False	correct_rejection	n/a
43.336914	0.5	violation-colour	4	green	3	190	False	False	correct_rejection	n/a
44.352539	0.5	constant	1	red	4	180	False	False	correct_rejection	n/a
44.836914	0.5	constant	2	red	4	195	False	False	correct_rejection	n/a
45.336914	0.5	constant	3	red	4	210	False	False	correct_rejection	n/a
45.836914	0.5	constant	4	red	4	225	False	False	correct_rejection	n/a
46.853516	0.5	violation-shape	1	yellow	1	180	False	False	correct_rejection	n/a
47.353516	0.5	violation-shape	2	yellow	1	195	False	False	correct_rejection	n/a
47.853516	0.5	violation-shape	3	yellow	1	210	False	False	correct_rejection	n/a
48.353516	0.5	violation-shape	4	yellow	3	225	False	False	correct_rejection	n/a
49.370117	0.5	constant	1	yellow	1	250	False	False	correct_rejection	n/a
49.870117	0.5	constant	2	yellow	1	230	False	False	correct_rejection	n/a
50.370117	0.5	constant	3	yellow	1	210	False	False	correct_rejection	n/a
50.870117	0.5	constant	4	yellow	1	190	False	False	correct_rejection	n/a
51.884766	0.5	neutral-colour	1	blue	2	180	True	True	hit	0.7020544
52.370117	0.5	neutral-colour	2	green	2	195	True	False	hit	n/a
52.870117	0.5	neutral-colour	3	yellow	2	210	True	False	hit	n/a
53.370117	0.5	neutral-colour	4	green	2	225	True	False	hit	n/a
54.385742	0.5	neutral-colour	1	green	1	250	False	False	correct_rejection	n/a
54.870117	0.5	neutral-colour	2	blue	1	230	False	False	correct_rejection	n/a
55.370117	0.5	neutral-colour	3	yellow	1	210	False	False	correct_rejection	n/a
55.870117	0.5	neutral-colour	4	red	1	190	False	False	correct_rejection	n/a
56.886719	0.5	constant	1	blue	3	250	False	False	correct_rejection	n/a
57.370117	0.5	constant	2	blue	3	230	False	False	correct_rejection	n/a
57.870117	0.5	constant	3	blue	3	210	False	False	correct_rejection	n/a
58.370117	0.5	constant	4	blue	3	190	False	False	correct_rejection	n/a
59.384766	0.5	neutral-colour	1	green	4	250	False	False	correct_rejection	n/a
59.870117	0.5	neutral-colour	2	yellow	4	230	False	False	correct_rejection	n/a
60.370117	0.5	neutral-colour	3	blue	4	210	False	False	correct_rejection	n/a
60.870117	0.5	neutral-colour	4	green	4	190	False	False	correct_rejection	n/a
61.884766	0.5	violation-colour	1	green	3	180	False	False	correct_rejection	n/a
62.370117	0.5	violation-colour	2	green	3	195	False	False	correct_rejection	n/a
62.870117	0.5	violation-colour	3	green	3	210	False	False	correct_rejection	n/a
63.370117	0.5	violation-colour	4	blue	3	225	False	False	correct_rejection	n/a
64.386719	0.5	violation-colour	1	blue	2	250	False	False	correct_rejection	n/a
64.886719	0.5	violation-colour	2	blue	2	230	False	False	correct_rejection	n/a
65.386719	0.5	violation-colour	3	blue	2	210	False	False	correct_rejection	n/a
65.885742	0.5	violation-colour	4	red	2	190	False	False	correct_rejection	n/a
66.901367	0.5	violation-shape	1	blue	4	180	True	True	hit	0.518034688
67.385742	0.5	violation-shape	2	blue	4	195	True	False	hit	n/a
67.885742	0.5	violation-shape	3	blue	4	210	True	False	hit	n/a
68.385742	0.5	violation-shape	4	blue	2	225	True	False	hit	n/a
69.402344	0.5	constant	1	yellow	3	180	False	False	correct_rejection	n/a
69.885742	0.5	constant	2	yellow	3	195	False	False	correct_rejection	n/a
70.385742	0.5	constant	3	yellow	3	210	False	False	correct_rejection	n/a
70.885742	0.5	constant	4	yellow	3	225	False	False	correct_rejection	n/a
