onset	duration	trial_type	image_n	colour	shape	orientation	catch_trial	catch_on	catch_outcome	response_time
33.422852	0.5	violation-shape	1	yellow	4	250	False	False	correct_rejection	n/a
33.916992	0.5	violation-shape	2	yellow	4	230	False	False	correct_rejection	n/a
34.416992	0.5	violation-shape	3	yellow	4	210	False	False	correct_rejection	n/a
34.916992	0.5	violation-shape	4	yellow	1	190	False	False	correct_rejection	n/a
35.93457	0.5	constant	1	blue	3	180	True	False	hit	n/a
36.433594	0.5	constant	2	blue	3	195	True	True	hit	0.800221695999
36.933594	0.5	constant	3	blue	3	210	True	False	hit	n/a
37.433594	0.5	constant	4	blue	3	225	True	False	hit	n/a
38.451172	0.5	constant	1	blue	2	250	False	False	correct_rejection	n/a
38.950195	0.5	constant	2	blue	2	230	False	False	correct_rejection	n/a
39.450195	0.5	constant	3	blue	2	210	False	False	correct_rejection	n/a
39.950195	0.5	constant	4	blue	2	190	False	False	correct_rejection	n/a
40.967773	0.5	constant	1	blue	1	180	False	False	correct_rejection	n/a
41.466797	0.5	constant	2	blue	1	195	False	False	correct_rejection	n/a
41.966797	0.5	constant	3	blue	1	210	False	False	correct_rejection	n/a
42.466797	0.5	constant	4	blue	1	225	False	False	correct_rejection	n/a
43.482422	0.5	constant	1	yellow	2	180	False	False	correct_rejection	n/a
43.966797	0.5	constant	2	yellow	2	195	False	False	correct_rejection	n/a
44.466797	0.5	constant	3	yellow	2	210	False	False	correct_rejection	n/a
44.966797	0.5	constant	4	yellow	2	225	False	False	correct_rejection	n/a
45.982422	0.5	constant	1	green	1	180	False	False	correct_rejection	n/a
46.466797	0.5	constant	2	green	1	195	False	False	correct_rejection	n/a
46.966797	0.5	constant	3	green	1	210	False	False	correct_rejection	n/a
47.466797	0.5	constant	4	green	1	225	False	False	correct_rejection	n/a
48.483398	0.5	violation-orientation	1	red	4	250	False	False	correct_rejection	n/a
48.966797	0.5	violation-orientation	2	red	4	230	False	False	correct_rejection	n/a
49.466797	0.5	violation-orientation	3	red	4	210	False	False	correct_rejection	n/a
49.966797	0.5	violation-orientation	4	red	4	225	False	False	correct_rejection	n/a
50.982422	0.5	violation-shape	1	green	3	180	True	False	hit	n/a
51.466797	0.5	violation-shape	2	green	3	195	True	True	hit	0.450212608
51.966797	0.5	violation-shape	3	green	3	210	True	False	hit	n/a
52.466797	0.5	violation-shape	4	green	4	225	True	False	hit	n/a
53.481445	0.5	violation-colour	1	green	2	180	False	False	correct_rejection	n/a
53.966797	0.5	violation-colour	2	green	2	195	False	False	correct_rejection	n/a
54.466797	0.5	violation-colour	3	green	2	210	False	False	correct_rejection	n/a
54.966797	0.5	violation-colour	4	yellow	2	225	False	False	correct_rejection	n/a
55.983398	0.5	constant	1	red	2	180	False	False	correct_rejection	n/a
56.466797	0.5	constant	2	red	2	195	False	False	correct_rejection	n/a
56.966797	0.5	constant	3	red	2	210	False	False	correct_rejection	n/a
