onset	duration	trial_type	image_n	colour	shape	orientation	catch_trial	catch_on	catch_outcome	response_time
31.036133	0.5	constant	1	yellow	1	70	True	True	hit	0.599428915652
31.535156	0.5	constant	2	yellow	1	55	True	False	hit	n/a
32.035156	0.5	constant	3	yellow	1	40	True	False	hit	n/a
32.535156	0.5	constant	4	yellow	1	25	True	False	hit	n/a
33.552734	0.5	constant	1	green	3	0	True	True	hit	0.41586502461
34.051758	0.5	constant	2	green	3	20	True	False	hit	n/a
34.551758	0.5	constant	3	green	3	40	True	False	hit	n/a
35.051758	0.5	constant	4	green	3	60	True	False	hit	n/a
36.070312	0.5	neutral-shape	1	green	2	0	False	False	correct_rejection	n/a
36.568359	0.5	neutral-shape	2	green	4	20	False	False	correct_rejection	n/a
37.068359	0.5	neutral-shape	3	green	1	40	False	False	correct_rejection	n/a
37.568359	0.5	neutral-shape	4	green	4	60	False	False	correct_rejection	n/a
38.584961	0.5	neutral-shape	1	yellow	3	0	False	False	correct_rejection	n/a
39.068359	0.5	neutral-shape	2	yellow	2	20	False	False	correct_rejection	n/a
39.568359	0.5	neutral-shape	3	yellow	1	40	False	False	correct_rejection	n/a
40.068359	0.5	neutral-shape	4	yellow	3	60	False	False	correct_rejection	n/a
41.083984	0.5	constant	1	blue	2	0	False	False	correct_rejection	n/a
41.568359	0.5	constant	2	blue	2	20	False	False	correct_rejection	n/a
42.068359	0.5	constant	3	blue	2	40	False	False	correct_rejection	n/a
42.568359	0.5	constant	4	blue	2	60	False	False	correct_rejection	n/a
43.584961	0.5	constant	1	green	1	0	False	False	correct_rejection	n/a
44.084961	0.5	constant	2	green	1	20	False	False	correct_rejection	n/a
44.584961	0.5	constant	3	green	1	40	False	False	correct_rejection	n/a
45.084961	0.5	constant	4	green	1	60	False	False	correct_rejection	n/a
46.101562	0.5	neutral-shape	1	green	1	0	False	False	correct_rejection	n/a
46.583984	0.5	neutral-shape	2	green	4	20	False	False	correct_rejection	n/a
47.083984	0.5	neutral-shape	3	green	3	40	False	False	correct_rejection	n/a
47.583984	0.5	neutral-shape	4	green	4	60	False	False	correct_rejection	n/a
48.599609	0.5	constant	1	yellow	4	0	False	False	correct_rejection	n/a
49.083984	0.5	constant	2	yellow	4	20	False	False	correct_rejection	n/a
49.583984	0.5	constant	3	yellow	4	40	False	False	correct_rejection	n/a
50.083984	0.5	constant	4	yellow	4	60	False	False	correct_rejection	n/a
51.101562	0.5	violation-shape	1	green	2	70	False	False	correct_rejection	n/a
51.600586	0.5	violation-shape	2	green	2	55	False	False	correct_rejection	n/a
52.100586	0.5	violation-shape	3	green	2	40	False	False	correct_rejection	n/a
52.600586	0.5	violation-shape	4	green	4	25	False	False	correct_rejection	n/a
53.619141	0.5	violation-orientation	1	red	1	0	False	False	correct_rejection	n/a
54.117188	0.5	violation-orientation	2	red	1	20	False	False	correct_rejection	n/a
54.617188	0.5	violation-orientation	3	red	1	40	False	False	correct_rejection	n/a
55.117188	0.5	violation-orientation	4	red	1	25	False	False	correct_rejection	n/a
56.131836	0.5	constant	1	yellow	4	0	False	False	correct_rejection	n/a
56.617188	0.5	constant	2	yellow	4	20	False	False	correct_rejection	n/a
