onset	duration	trial_type	image_n	colour	shape	orientation	catch_trial	catch_on	catch_outcome	response_time
108.642578	0.5	constant	1	yellow	4	70	False	False	correct_rejection	n/a
109.137695	0.5	constant	2	yellow	4	55	False	False	correct_rejection	n/a
109.637695	0.5	constant	3	yellow	4	40	False	False	correct_rejection	n/a
110.137695	0.5	constant	4	yellow	4	25	False	False	correct_rejection	n/a
111.157227	0.5	constant	1	green	1	0	False	False	correct_rejection	n/a
111.654297	0.5	constant	2	green	1	20	False	False	correct_rejection	n/a
112.154297	0.5	constant	3	green	1	40	False	False	correct_rejection	n/a
112.654297	0.5	constant	4	green	1	60	False	False	correct_rejection	n/a
113.674805	0.5	neutral-shape	1	yellow	3	70	True	False	hit	n/a
114.170898	0.5	neutral-shape	2	yellow	2	55	True	True	hit	0.583541269067
114.670898	0.5	neutral-shape	3	yellow	1	40	True	False	hit	n/a
115.170898	0.5	neutral-shape	4	yellow	2	25	True	False	hit	n/a
116.189453	0.5	violation-shape	1	green	2	0	False	False	correct_rejection	n/a
116.6875	0.5	violation-shape	2	green	2	20	False	False	correct_rejection	n/a
117.1875	0.5	violation-shape	3	green	2	40	False	False	correct_rejection	n/a
117.688477	0.5	violation-shape	4	green	3	60	False	False	correct_rejection	n/a
118.708008	0.5	violation-orientation	1	blue	4	0	False	False	correct_rejection	n/a
119.204102	0.5	violation-orientation	2	blue	4	20	False	False	correct_rejection	n/a
119.704102	0.5	violation-orientation	3	blue	4	40	False	False	correct_rejection	n/a
120.204102	0.5	violation-orientation	4	blue	4	25	False	False	correct_rejection	n/a
121.223633	0.5	violation-colour	1	red	1	0	False	False	correct_rejection	n/a
121.720703	0.5	violation-colour	2	red	1	20	False	False	correct_rejection	n/a
122.220703	0.5	violation-colour	3	red	1	40	False	False	correct_rejection	n/a
122.720703	0.5	violation-colour	4	green	1	60	False	False	correct_rejection	n/a
123.742188	0.5	constant	1	red	3	70	False	False	correct_rejection	n/a
124.237305	0.5	constant	2	red	3	55	False	False	correct_rejection	n/a
124.737305	0.5	constant	3	red	3	40	False	False	correct_rejection	n/a
125.237305	0.5	constant	4	red	3	25	False	False	correct_rejection	n/a
126.256836	0.5	constant	1	yellow	1	0	False	False	correct_rejection	n/a
126.753906	0.5	constant	2	yellow	1	20	False	False	correct_rejection	n/a
127.253906	0.5	constant	3	yellow	1	40	False	False	correct_rejection	n/a
127.753906	0.5	constant	4	yellow	1	60	False	False	correct_rejection	n/a
128.772461	0.5	constant	1	green	3	0	False	False	correct_rejection	n/a
129.270508	0.5	constant	2	green	3	20	False	False	correct_rejection	n/a
129.770508	0.5	constant	3	green	3	40	False	False	correct_rejection	n/a
130.270508	0.5	constant	4	green	3	60	False	False	correct_rejection	n/a
131.290039	0.5	neutral-shape	1	blue	4	0	False	False	correct_rejection	n/a
131.787109	0.5	neutral-shape	2	blue	1	20	False	False	correct_rejection	n/a
132.287109	0.5	neutral-shape	3	blue	2	40	False	False	correct_rejection	n/a
132.787109	0.5	neutral-shape	4	blue	3	60	False	False	correct_rejection	n/a
133.811523	0.5	neutral-shape	1	blue	4	0	False	False	correct_rejection	n/a
134.303711	0.5	neutral-shape	2	blue	1	20	False	False	correct_rejection	n/a
134.803711	0.5	neutral-shape	3	blue	3	40	False	False	correct_rejection	n/a
135.303711	0.5	neutral-shape	4	blue	4	60	False	False	correct_rejection	n/a
136.328125	0.5	violation-colour	1	yellow	2	0	False	False	correct_rejection	n/a
136.820312	0.5	violation-colour	2	yellow	2	20	False	False	correct_rejection	n/a
137.320312	0.5	violation-colour	3	yellow	2	40	False	False	correct_rejection	n/a
137.820312	0.5	violation-colour	4	green	2	60	False	False	correct_rejection	n/a
138.837891	0.5	violation-orientation	1	green	2	0	False	False	correct_rejection	n/a
139.336914	0.5	violation-orientation	2	green	2	20	False	False	correct_rejection	n/a
139.836914	0.5	violation-orientation	3	green	2	40	False	False	correct_rejection	n/a
140.336914	0.5	violation-orientation	4	green	2	25	False	False	correct_rejection	n/a
141.355469	0.5	constant	1	blue	3	70	False	False	correct_rejection	n/a
141.853516	0.5	constant	2	blue	3	55	False	False	correct_rejection	n/a
142.353516	0.5	constant	3	blue	3	40	False	False	correct_rejection	n/a
142.853516	0.5	constant	4	blue	3	25	False	False	correct_rejection	n/a
143.87207	0.5	constant	1	green	3	70	False	False	correct_rejection	n/a
144.370117	0.5	constant	2	green	3	55	False	False	correct_rejection	n/a
144.870117	0.5	constant	3	green	3	40	False	False	correct_rejection	n/a
145.370117	0.5	constant	4	green	3	25	False	False	correct_rejection	n/a
146.388672	0.5	neutral-colour	1	green	4	0	False	False	correct_rejection	n/a
146.886719	0.5	neutral-colour	2	blue	4	20	False	False	correct_rejection	n/a
147.386719	0.5	neutral-colour	3	red	4	40	False	False	correct_rejection	n/a
147.886719	0.5	neutral-colour	4	yellow	4	60	False	False	correct_rejection	n/a
148.904297	0.5	constant	1	blue	2	70	False	False	correct_rejection	n/a
149.40332	0.5	constant	2	blue	2	55	False	False	correct_rejection	n/a
